¿ª¸í,³¯Â¥,±¸ºÐ,05~06½Ã,06~07½Ã,07~08½Ã,08~09½Ã,09~10½Ã,10~11½Ã,11~12½Ã,12~13½Ã,13~14½Ã,14~15½Ã,15~16½Ã,16~17½Ã,17~18½Ã,18~19½Ã,19~20½Ã,20~21½Ã,21~22½Ã,22~23½Ã,23~24½Ã,00~01½Ã,01~02½Ã,ÃÑÇÕ
±¸·ÎµðÁöÅÐ´ÜÁö(232),3/1/2017,½ÂÂ÷,"1,163","1,160","1,487","2,264","2,576","2,402","2,302","2,540","2,654","2,428","2,227","2,408","2,590","2,396","1,745","1,599","1,313","1,165",520,10,0,36949
´ë¸²(233),3/1/2017,½ÂÂ÷,"1,120",808,957,"1,840","2,007","1,605","1,376","1,509","1,610","1,326","1,348","1,303","1,230",925,816,704,527,410,203,4,0,21628
½Åµµ¸²(234),3/1/2017,½ÂÂ÷,"1,190",942,"1,131","1,701","2,187","2,152","2,461","3,017","3,527","3,406","3,253","3,894","3,723","3,300","2,762","2,799","2,735","1,934",685,0,0,46799
¹®·¡(235),3/1/2017,½ÂÂ÷,105,186,208,410,559,580,635,706,780,704,685,735,742,677,466,450,458,352,190,2,0,9630
¿µµîÆ÷±¸Ã»(236),3/1/2017,½ÂÂ÷,169,211,268,481,621,645,772,846,914,804,710,750,778,683,580,561,545,359,217,3,0,10917
´ç»ê(237),3/1/2017,½ÂÂ÷,172,257,383,611,801,802,"1,048","1,090","1,173","1,054",870,853,779,693,493,416,483,381,188,5,0,12552
ÇÕÁ¤(238),3/1/2017,½ÂÂ÷,347,306,430,597,748,850,"1,120","1,217","1,360","1,494","1,777","2,173","2,225","2,198","1,959","1,956","2,332","1,941",867,5,0,25902
È«´ëÀÔ±¸(239),3/1/2017,½ÂÂ÷,"2,056","1,457","1,042","1,205","1,458","1,513","1,935","2,382","3,381","3,799","5,783","8,080","8,135","7,382","7,370","7,287","7,942","7,140","3,215",1,0,82563
½ÅÃÌ(240),3/1/2017,½ÂÂ÷,517,511,512,717,857,"1,097","1,524","2,158","2,614","2,703","3,055","3,802","3,954","3,725","3,429","3,897","4,046","3,851","1,829",7,0,44805
ÀÌ´ë(241),3/1/2017,½ÂÂ÷,84,148,177,305,442,503,708,893,"1,076","1,196","1,387","1,651","1,665","1,333","1,121",936,947,678,225,1,0,15476
¾ÆÇö(242),3/1/2017,½ÂÂ÷,117,237,211,444,470,500,529,568,718,630,647,653,559,465,306,237,208,127,68,2,0,7696
ÃæÁ¤·Î(243),3/1/2017,½ÂÂ÷,88,150,198,342,354,391,456,550,613,660,649,731,589,624,336,275,272,246,56,1,0,7581
¿ë´ä(244),3/1/2017,½ÂÂ÷,76,83,112,178,136,162,132,172,139,138,124,108,89,90,54,39,30,26,8,0,0,1896
½Å´ä(245),3/1/2017,½ÂÂ÷,13,19,52,66,54,49,69,53,85,69,71,51,60,46,22,14,17,11,4,0,0,825
½Å¼³µ¿(246),3/1/2017,½ÂÂ÷,37,30,29,64,84,115,152,177,287,374,435,425,361,266,180,110,81,53,15,0,0,3275
