¿ª¸í,³¯Â¥,±¸ºÐ,05~06½Ã,06~07½Ã,07~08½Ã,08~09½Ã,09~10½Ã,10~11½Ã,11~12½Ã,12~13½Ã,13~14½Ã,14~15½Ã,15~16½Ã,16~17½Ã,17~18½Ã,18~19½Ã,19~20½Ã,20~21½Ã,21~22½Ã,22~23½Ã,23~24½Ã,00~01½Ã,01~02½Ã,ÃÑÇÕ
µµ¸²Ãµ(247),3/17/2017,½ÂÂ÷,11,39,125,127,67,53,42,54,54,51,178,68,96,141,78,50,49,27,9,0,0,1319
¾çÃµ±¸Ã»(248),3/17/2017,½ÂÂ÷,190,503,"1,590","1,375",749,459,433,386,343,306,313,375,429,463,233,145,131,141,52,10,0,8626
½ÅÁ¤³×°Å¸®(249),3/17/2017,½ÂÂ÷,366,651,"2,230","1,960",966,612,495,465,485,399,417,458,534,649,396,244,212,191,90,15,0,11835
¿ëµÎ(250),3/17/2017,½ÂÂ÷,38,56,215,340,158,154,118,137,157,170,157,176,185,288,142,100,59,54,17,1,0,2722
ÁöÃà(309),3/17/2017,½ÂÂ÷,6,18,189,203,125,76,41,56,40,43,53,60,73,81,22,22,8,6,4,0,0,1126
±¸ÆÄ¹ß(310),3/17/2017,½ÂÂ÷,301,"1,287","4,068","3,422","1,717","1,071",896,853,815,809,875,"1,186","1,399","1,378",928,715,631,586,200,41,0,23178
¿¬½Å³»(311),3/17/2017,½ÂÂ÷,"1,020","2,250","7,320","8,295","3,943","2,487","2,173","2,072","2,198","1,897","2,044","2,329","2,508","2,634","1,744","1,328","1,223","1,269",727,176,0,49637
ºÒ±¤(312),3/17/2017,½ÂÂ÷,385,908,"2,950","3,410","1,638","1,117",949,951,971,"1,011","1,147","1,240","1,328","1,609",995,744,686,591,275,47,0,22952
³ì¹ø(313),3/17/2017,½ÂÂ÷,338,825,"2,561","2,893","1,408",802,656,606,604,544,507,605,785,"1,001",502,319,330,238,118,10,0,15652
È«Á¦(314),3/17/2017,½ÂÂ÷,377,"1,032","3,297","3,640","2,004","1,272","1,158","1,215","1,094","1,015","1,029","1,230","1,536","1,802",992,696,508,463,212,33,0,24605
¹«¾ÇÀç(315),3/17/2017,½ÂÂ÷,76,244,787,866,470,302,260,171,237,185,150,185,250,330,182,126,84,80,33,11,0,5029
µ¶¸³¹®(316),3/17/2017,½ÂÂ÷,211,263,818,968,600,434,488,450,459,475,607,757,721,794,442,305,256,231,60,9,0,9348
°æº¹±Ã(317),3/17/2017,½ÂÂ÷,104,253,768,"1,045",982,713,823,"1,089","1,371","1,682","2,060","2,660","3,210","5,486","2,412","1,427","1,502","1,568",615,105,0,29875
¾È±¹(318),3/17/2017,½ÂÂ÷,77,137,316,487,466,536,816,"1,115","1,291","1,577","1,998","2,443","3,802","6,934","2,916","1,857","1,798","1,531",445,81,0,30623
Á¾·Î3°¡(319),3/17/2017,½ÂÂ÷,21,45,68,93,131,274,370,380,435,504,767,689,983,"2,007","1,797",836,834,580,337,62,0,11213
À»Áö·Î3°¡(320),3/17/2017,½ÂÂ÷,16,45,81,153,228,326,389,332,495,587,636,652,"1,150","2,779","1,586",850,703,481,297,63,0,11849
µ¿´ëÀÔ±¸(322),3/17/2017,½ÂÂ÷,52,128,287,356,288,315,419,397,605,556,888,889,"1,425","2,440","1,201",870,"1,269",766,310,51,0,13512
¾à¼ö(323),3/17/2017,½ÂÂ÷,242,511,"1,440","2,071","1,255",769,723,818,840,787,942,855,"1,083","1,710","1,159",742,811,586,315,53,0,17712
±ÝÈ£(324),3/17/2017,½ÂÂ÷,146,462,"1,415","1,892","1,041",580,480,439,487,381,357,397,489,578,413,252,218,156,89,11,0,10283
¿Á¼ö(325),3/17/2017,½ÂÂ÷,111,413,"1,330","1,676","1,016",635,556,512,595,489,505,715,778,957,664,393,312,344,130,25,0,12156
¾Ð±¸Á¤(326),3/17/2017,½ÂÂ÷,123,328,857,"1,364",963,"1,063","1,430","1,560","1,850","2,206","2,540","2,894","3,442","6,145","5,244","3,597","2,631","2,284",882,110,0,41513
½Å»ç(327),3/17/2017,½ÂÂ÷,193,276,641,972,709,709,979,"1,047","1,427","1,680","2,060","2,164","2,919","5,993","4,763","2,894","3,046","3,286","1,859",276,0,37893
Àá¿ø(328),3/17/2017,½ÂÂ÷,44,240,944,"1,075",597,374,375,276,327,295,325,424,556,557,376,256,215,182,62,8,0,7508
°í¼ÓÅÍ¹Ì³Î(329),3/17/2017,½ÂÂ÷,240,327,"1,255","2,180","2,157","2,093","2,528","3,128","3,817","4,097","4,534","5,175","5,779","6,682","6,386","7,006","5,284","4,394","1,823",279,0,69164
±³´ë(330),3/17/2017,½ÂÂ÷,36,122,400,605,486,529,687,726,969,"1,199","1,159","1,395","1,747","3,308","1,543","1,169","1,249","1,679",618,109,0,19735
³²ºÎÅÍ¹Ì³Î(331),3/17/2017,½ÂÂ÷,124,340,"1,397","1,951","1,604","1,558","1,607","1,780","2,075","2,214","2,475","2,890","3,656","8,058","4,092","3,280","2,297","2,444",874,136,0,44852
¾çÀç(332),3/17/2017,½ÂÂ÷,173,582,"1,821","2,287","1,548","1,393","1,555","1,601","1,988","2,006","2,578","3,276","4,954","10,584","6,116","3,369","3,169","2,801","1,246",187,0,53234
¸ÅºÀ(333),3/17/2017,½ÂÂ÷,65,244,826,"1,013",582,511,493,496,590,596,673,747,"1,272","3,014","1,436",695,691,538,275,36,0,14793
µµ°î(334),3/17/2017,½ÂÂ÷,46,173,638,804,437,311,355,307,351,418,553,503,806,"1,103",623,350,292,266,82,14,0,8432
´ëÄ¡(335),3/17/2017,½ÂÂ÷,103,514,"1,553","1,407",802,589,577,578,574,517,668,824,"1,055","1,141",966,611,707,"1,365",193,33,0,14777
ÇÐ¿©¿ï(336),3/17/2017,½ÂÂ÷,20,64,245,237,139,137,224,276,282,371,311,327,403,465,161,107,112,74,27,3,0,3985
´ëÃ»(337),3/17/2017,½ÂÂ÷,128,417,"1,434","1,550",756,535,506,408,512,445,487,"1,008",996,"1,556",670,407,332,364,179,20,0,12710
ÀÏ¿ø(338),3/17/2017,½ÂÂ÷,76,339,"1,169",980,577,649,670,654,609,650,657,"1,179","1,112",758,414,310,197,142,60,15,0,11217
¼ö¼­(339),3/17/2017,½ÂÂ÷,163,570,"1,674","1,857","1,139","1,053",874,982,"1,069",896,"1,035","1,562","1,689","2,522","1,205","1,086",712,789,431,40,1,21349
°¡¶ô½ÃÀå(340),3/17/2017,½ÂÂ÷,100,372,"1,103","1,224",828,605,621,604,605,572,618,655,868,"1,358",694,593,465,361,188,37,0,12471
°æÂûº´¿ø(341),3/17/2017,½ÂÂ÷,90,321,"1,127","1,303",643,504,497,378,407,436,414,563,614,"1,167",458,307,234,172,89,15,0,9739
¿À±Ý(342),3/17/2017,½ÂÂ÷,102,329,"1,273","1,590",714,415,331,302,315,288,305,325,465,747,360,221,199,158,70,5,0,8514
´ç°í°³(409),3/17/2017,½ÂÂ÷,361,806,"2,526","2,434","1,334",863,718,730,727,600,599,618,728,781,629,360,237,206,128,17,0,15402
»ó°è(410),3/17/2017,½ÂÂ÷,594,"1,791","4,939","4,258","1,997","1,257","1,071","1,006","1,061",880,848,"1,159","1,141","1,277",818,539,457,489,227,43,0,25852
³ë¿ø(411),3/17/2017,½ÂÂ÷,413,"1,234","2,846","2,922","1,612","1,251","1,046","1,158","1,195","1,104","1,249","1,359","1,550","1,685","1,299","1,294","1,239","1,527",952,222,0,27157
Ã¢µ¿(412),3/17/2017,½ÂÂ÷,658,"1,871","5,449","4,469","2,410","1,764","1,626","1,534","1,501","1,442","1,475","1,869","2,012","2,601","1,447",995,980,918,506,118,0,35645
½Ö¹®(413),3/17/2017,½ÂÂ÷,940,"2,431","7,144","7,217","3,686","2,193","1,742","1,682","1,512","1,349","1,251","1,605","1,741","1,860","1,327",825,693,581,293,49,0,40121
¼öÀ¯(°­ºÏ±¸Ã»)(414),3/17/2017,½ÂÂ÷,891,"2,418","7,856","7,834","4,192","2,702","2,360","2,519","2,384","2,269","2,237","2,791","3,086","3,748","2,424","1,596","1,324","1,190",751,176,0,54748
¹Ì¾Æ(415),3/17/2017,½ÂÂ÷,516,"1,070","3,340","3,367","1,734","1,033",956,"1,018",931,990,"1,063","1,229","1,296","1,460",959,609,638,621,229,39,0,23098
¹Ì¾Æ»ç°Å¸®(416),3/17/2017,½ÂÂ÷,550,"1,661","5,324","5,662","2,948","1,710","1,505","1,532","1,495","1,693","1,637","1,767","2,114","2,289","1,810","1,644","1,107","1,010",638,121,0,38217
±æÀ½(417),3/17/2017,½ÂÂ÷,428,"1,611","5,148","5,186","2,595","1,526","1,329","1,361","1,333","1,302","1,445","1,761","2,242","2,869","1,662",983,814,908,443,90,0,35036
¼º½Å¿©´ëÀÔ±¸(418),3/17/2017,½ÂÂ÷,246,963,"2,917","3,257","1,944","1,300","1,438","1,434","1,380","1,500","1,841","2,066","2,429","3,060","1,901","1,441","1,607","1,676","1,026",210,0,33636
ÇÑ¼º´ëÀÔ±¸(419),3/17/2017,½ÂÂ÷,296,587,"1,726","2,041","1,232",814,787,813,"1,016",889,"1,340","1,253","1,585","1,857","1,325",842,886,932,454,93,0,20768
ÇýÈ­(420),3/17/2017,½ÂÂ÷,169,352,843,"1,143","1,088","1,310","1,538","1,765","2,006","2,163","2,973","3,399","4,509","6,145","3,576","2,868","4,451","5,904","2,867",590,0,49659
µ¿´ë¹®(421),3/17/2017,½ÂÂ÷,436,175,229,420,663,925,"1,283","1,518","1,790","2,101","2,633","2,935","4,086","4,398","2,265","1,438","1,264","1,221",783,146,0,30709
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(422),3/17/2017,½ÂÂ÷,494,249,373,533,552,645,735,944,"1,100","1,229","1,477","1,778","2,403","4,142","2,889","2,058","1,910","1,848","1,343",305,0,27007
Ãæ¹«·Î(423),3/17/2017,½ÂÂ÷,152,216,468,791,883,974,"1,371","1,454","1,690","1,806","2,402","2,427","3,763","8,094","4,878","2,979","2,966","2,770","1,769",438,0,42291
¸íµ¿(424),3/17/2017,½ÂÂ÷,61,122,296,505,"1,111","1,461","1,598","1,696","1,943","2,449","3,135","3,398","3,762","6,851","4,717","3,877","4,434","4,403","1,999",165,0,47983
È¸Çö(425),3/17/2017,½ÂÂ÷,81,126,267,391,641,841,"1,350","1,787","2,365","2,869","3,352","3,555","4,738","6,125","3,195","2,379","1,576",978,411,58,0,37085
¼­¿ï¿ª(426),3/17/2017,½ÂÂ÷,209,222,549,720,523,532,576,636,673,640,761,852,"1,188","3,147","1,506",811,815,572,350,70,0,15352
¼÷´ëÀÔ±¸(427),3/17/2017,½ÂÂ÷,137,340,898,"1,301",914,681,832,870,"1,031","1,250","1,234","1,509","2,159","2,896","1,707","1,081","1,090","1,000",655,124,0,21709
»ï°¢Áö(428),3/17/2017,½ÂÂ÷,15,93,255,403,246,193,215,275,279,275,281,461,544,"1,163",628,353,371,311,167,42,0,6570
½Å¿ë»ê(429),3/17/2017,½ÂÂ÷,55,155,463,617,488,418,458,533,593,662,759,933,"1,440","3,326","1,928","1,065",893,667,355,61,0,15869
ÀÌÃÌ(430),3/17/2017,½ÂÂ÷,47,241,737,877,532,395,338,415,416,523,648,854,"1,108","1,278",588,394,349,298,132,19,0,10189
µ¿ÀÛ(431),3/17/2017,½ÂÂ÷,21,76,263,320,211,151,144,153,140,128,168,163,213,376,163,90,90,98,37,7,0,3012
ÃÑ½Å´ëÀÔ±¸(432),3/17/2017,½ÂÂ÷,240,837,"2,621","3,215","1,789","1,234","1,152","1,129","1,170","1,231","1,195","1,249","1,500","2,243","1,409","1,186","1,101","1,319",709,142,0,26671
»ç´ç(433),3/17/2017,½ÂÂ÷,439,"1,183","3,776","4,709","2,790","1,862","1,448","1,580","1,557","1,472","1,496","1,360","1,980","2,601","1,899","1,686","1,782","1,991","1,282",178,2,37073
³²ÅÂ·É(434),3/17/2017,½ÂÂ÷,24,44,259,430,239,143,101,78,62,97,247,128,232,474,212,87,23,28,8,2,0,2918
¼­¿ï¿ª(150),3/18/2017,½ÂÂ÷,499,428,952,"2,182","2,598","2,886","4,390","4,591","4,694","4,154","5,422","5,443","5,142","4,246","3,676","2,931","3,228","2,748","1,063",71,0,61344
½ÃÃ»(151),3/18/2017,½ÂÂ÷,68,119,179,257,437,443,633,"1,009","1,594","2,063","2,911","3,881","5,403","5,700","2,734","1,760","1,593",929,338,17,0,32068
Á¾°¢(152),3/18/2017,½ÂÂ÷,209,158,192,363,491,640,"1,002","1,560","2,851","3,569","3,733","3,883","4,527","4,175","3,506","3,248","3,678","3,313","1,649",45,0,42792
Á¾·Î3°¡(153),3/18/2017,½ÂÂ÷,236,189,219,404,550,995,"1,445","2,220","3,275","4,058","4,408","4,502","4,423","3,720","3,142","2,780","2,661","2,186",893,24,0,42330
Á¾·Î5°¡(154),3/18/2017,½ÂÂ÷,84,124,196,313,483,824,"1,291","1,836","2,788","3,777","3,893","3,377","3,395","2,946","2,370","1,625","1,341","1,133",386,14,0,32196
µ¿´ë¹®(155),3/18/2017,½ÂÂ÷,567,363,441,717,749,851,938,"1,057","1,580","1,938","1,962","1,538","1,626","1,445","1,062",855,777,511,278,14,0,19269
½Å¼³µ¿(156),3/18/2017,½ÂÂ÷,337,304,352,547,766,657,790,"1,029","1,217","1,527","1,384","1,254","1,412","1,292",756,658,450,349,159,5,0,15245
Á¦±âµ¿(157),3/18/2017,½ÂÂ÷,153,220,395,591,881,"1,118","1,480","1,746","2,020","2,433","2,565","2,491","1,841","1,279",719,432,348,236,97,5,0,21050
Ã»·®¸®(ÁöÇÏ)(158),3/18/2017,½ÂÂ÷,467,512,754,"1,168","1,493","1,596","1,937","2,164","2,350","2,557","2,738","3,070","2,885","2,200","1,623","1,283","1,013",754,269,9,0,30842
µ¿¹¦¾Õ(159),3/18/2017,½ÂÂ÷,116,116,126,211,271,414,698,925,"1,372","1,828","2,031","1,974","1,821","1,404",636,296,210,168,86,3,0,14706
½ÃÃ»(201),3/18/2017,½ÂÂ÷,52,78,138,209,254,466,676,924,"1,345","1,787","2,228","2,850","3,623","3,850","2,166","1,227","1,020",655,288,3,0,23839
À»Áö·ÎÀÔ±¸(202),3/18/2017,½ÂÂ÷,104,116,156,303,539,852,"1,198","1,586","2,674","3,272","4,388","5,175","5,888","5,990","4,569","4,779","3,950","2,656","1,251",7,0,49453
À»Áö·Î3°¡(203),3/18/2017,½ÂÂ÷,42,76,106,243,393,454,623,801,"1,280","1,336","1,489","1,444","1,494","1,384",972,716,653,508,234,2,0,14250
À»Áö·Î4°¡(204),3/18/2017,½ÂÂ÷,21,58,81,159,294,429,491,745,"1,018","1,346","1,576","1,466","1,389","1,120",725,463,298,231,103,0,0,12013
µ¿´ë¹®¿ª»ç¹®È­°ø¿ø(205),3/18/2017,½ÂÂ÷,399,251,250,402,515,628,"1,406","1,101","1,230","1,664","1,932","2,183","2,361","1,884","1,710","1,287","1,258","1,109",665,6,0,22241
½Å´ç(206),3/18/2017,½ÂÂ÷,218,301,394,674,761,684,815,"1,009","1,218","1,255","1,194","1,231","1,488","1,299",855,736,533,470,215,2,0,15352
»ó¿Õ½Ê¸®(207),3/18/2017,½ÂÂ÷,166,276,436,753,736,703,840,903,855,804,719,738,902,661,476,378,322,254,129,4,0,11055
¿Õ½Ê¸®(¼ºµ¿±¸Ã»)(208),3/18/2017,½ÂÂ÷,276,322,406,793,895,880,"1,122","1,460","1,585","1,486","1,436","1,392","1,532","1,400","1,162","1,110","1,324","1,355",790,9,0,20735
ÇÑ¾ç´ë(209),3/18/2017,½ÂÂ÷,57,100,101,168,209,255,344,509,742,614,744,708,"1,052",882,459,315,336,344,238,0,0,8177
¶Ò¼¶(210),3/18/2017,½ÂÂ÷,164,275,337,643,732,715,"1,056","1,180",951,"1,038","1,067","1,229","1,268","1,296",781,770,532,369,158,1,0,14562
¼º¼ö(211),3/18/2017,½ÂÂ÷,195,313,413,638,838,711,860,"1,053","1,238","1,224","1,337","1,621","1,780","1,499","1,145",958,798,685,296,0,0,17602
°Ç´ëÀÔ±¸(212),3/18/2017,½ÂÂ÷,984,940,"1,168","1,941","2,178","1,780","2,374","3,094","3,271","3,263","3,520","3,686","4,029","3,886","3,554","3,953","4,625","5,358","2,959",2,0,56565
±¸ÀÇ(213),3/18/2017,½ÂÂ÷,363,615,903,"1,681","1,649","1,431","1,493","1,484","1,617","1,297","1,203","1,188","1,296","1,039",815,674,636,574,286,1,0,20245
°­º¯(214),3/18/2017,½ÂÂ÷,304,594,"1,185","2,572","3,721","4,126","4,429","5,274","4,829","4,107","3,894","3,827","4,009","3,723","2,959","2,665","2,159","1,526",594,10,0,56507
Àá½Ç³ª·ç(215),3/18/2017,½ÂÂ÷,97,215,464,787,957,917,"1,039","1,151","1,156",975,926,999,"1,255",767,432,459,356,240,124,1,0,13317
Àá½Ç(216),3/18/2017,½ÂÂ÷,502,"1,232","1,856","3,016","3,890","3,533","4,220","5,202","5,745","6,051","6,273","7,496","8,306","8,052","6,794","6,747","6,553","5,890","1,867",4,0,93229
Àá½Ç»õ³»(217),3/18/2017,½ÂÂ÷,228,378,743,"1,245","1,447","1,338","1,749","1,923","1,839","1,779","1,650","1,713","1,829","1,617","1,279","1,213","1,304","1,329",831,2,0,25436
Á¾ÇÕ¿îµ¿Àå(218),3/18/2017,½ÂÂ÷,99,185,295,514,664,833,"1,026","1,090","1,002","1,058","1,172","2,206","1,171",946,425,349,437,260,94,0,0,13826
»ï¼º(219),3/18/2017,½ÂÂ÷,220,221,350,502,712,778,"1,396","2,306","2,786","3,566","4,035","5,164","5,875","5,717","3,603","3,925","3,414","2,398",595,1,0,47564
¼±¸ª(220),3/18/2017,½ÂÂ÷,292,394,469,783,"1,040","1,262","1,663","2,352","2,548","2,615","2,776","2,981","3,122","3,214","1,920","1,686","2,096","1,858",647,3,0,33721
¿ª»ï(221),3/18/2017,½ÂÂ÷,155,314,340,539,780,846,"1,091","1,671","1,967","1,907","2,111","2,417","2,441","2,233","1,593","1,482","1,474","1,145",524,0,0,25030
°­³²(222),3/18/2017,½ÂÂ÷,991,882,870,"1,394","1,655","2,308","3,405","4,817","6,699","6,712","7,199","8,688","9,546","8,754","6,175","6,134","7,555","9,103","5,163",22,0,98072
±³´ë(223),3/18/2017,½ÂÂ÷,127,358,407,731,983,"1,118","1,365","1,772","2,050","2,078","1,992","2,363","2,338","2,516","1,945","1,701","1,890","1,768",661,3,0,28166
¼­ÃÊ(224),3/18/2017,½ÂÂ÷,47,168,351,601,657,698,894,"1,217","1,613","1,580","1,393","1,664","1,952","1,557",856,717,728,598,168,1,0,17460
¹æ¹è(225),3/18/2017,½ÂÂ÷,98,247,383,634,857,784,"1,001","1,171","1,331","1,243","1,163","1,240","1,556","1,291",734,767,691,557,262,0,0,16010
»ç´ç(226),3/18/2017,½ÂÂ÷,426,677,"1,016","1,614","2,038","1,879","1,949","2,352","2,914","2,986","2,914","2,960","2,949","2,959","2,995","3,056","3,325","3,369","1,813",0,0,44191
³«¼º´ë(227),3/18/2017,½ÂÂ÷,361,570,"1,098","1,942","2,186","1,897","2,104","2,477","2,666","2,226","2,068","1,923","2,202","1,831","1,327","1,086",909,866,401,1,0,30141
¼­¿ï´ëÀÔ±¸(228),3/18/2017,½ÂÂ÷,982,"1,046","1,780","2,937","3,239","2,949","3,261","3,695","4,189","3,615","3,552","3,809","3,792","3,445","2,465","2,222","1,923","2,073","1,051",0,0,52025
ºÀÃµ(229),3/18/2017,½ÂÂ÷,549,699,"1,016","1,754","1,807","1,472","1,541","1,613","1,528","1,314","1,219","1,328","1,148","1,109",775,640,564,423,197,0,0,20696
½Å¸²(230),3/18/2017,½ÂÂ÷,"1,563","2,154","3,259","5,357","5,406","4,561","4,551","4,948","4,922","4,566","4,024","4,241","4,420","3,956","3,230","2,843","2,767","2,690","1,412",15,0,70885
½Å´ë¹æ(231),3/18/2017,½ÂÂ÷,799,944,"1,522","2,392","2,543","1,956","1,861","1,773","1,909","1,494","1,430","1,494","1,466","1,283",882,785,581,457,221,4,0,25796
±¸·ÎµðÁöÅÐ´ÜÁö(232),3/18/2017,½ÂÂ÷,"1,393","1,411","2,101","3,427","3,626","2,972","3,209","3,518","3,508","3,218","3,101","3,197","3,248","2,992","2,164","2,018","1,808","1,511",766,3,0,49191
´ë¸²(233),3/18/2017,½ÂÂ÷,"1,311",948,"1,352","2,292","2,451","2,015","1,760","1,857","1,797","1,599","1,506","1,679","1,725","1,411","1,074","1,028",906,708,389,3,0,27811
½Åµµ¸²(234),3/18/2017,½ÂÂ÷,"1,430","1,088","1,663","2,803","3,110","2,938","3,424","4,430","4,716","4,876","5,076","5,411","5,997","5,274","3,586","3,424","3,688","3,027","1,101",0,0,67062
¹®·¡(235),3/18/2017,½ÂÂ÷,117,227,346,672,790,796,948,"1,207","1,296","1,285","1,204","1,092","1,403","1,022",630,570,568,542,244,0,0,14959
¿µµîÆ÷±¸Ã»(236),3/18/2017,½ÂÂ÷,216,293,436,733,902,831,949,"1,091","1,128","1,066","1,090","1,058","1,229",900,746,664,619,633,251,7,0,14842
´ç»ê(237),3/18/2017,½ÂÂ÷,226,337,541,983,"1,126","1,048","1,240","1,462","1,569","1,457","1,291","1,466","1,542","1,326","1,133",645,637,581,288,4,0,18902
ÇÕÁ¤(238),3/18/2017,½ÂÂ÷,427,455,657,"1,014","1,199","1,072","1,330","1,601","1,887","1,896","2,055","2,440","2,881","2,651","2,474","2,416","3,145","3,361","1,967",33,0,34961
È«´ëÀÔ±¸(239),3/18/2017,½ÂÂ÷,"2,704","1,937","1,587","1,790","2,135","2,480","2,879","3,565","4,040","4,676","5,773","7,184","8,573","8,458","7,858","8,590","10,497","12,307","7,092",116,0,104241
½ÅÃÌ(240),3/18/2017,½ÂÂ÷,808,634,729,"1,151","1,432","1,677","2,359","3,255","3,981","3,726","4,297","4,319","4,977","4,626","3,923","4,494","4,808","6,068","3,663",48,0,60975
ÀÌ´ë(241),3/18/2017,½ÂÂ÷,142,204,304,488,673,785,"1,072","1,624","1,646","1,619","1,782","2,195","2,477","1,874","1,450","1,192","1,511",938,346,7,0,22329
¾ÆÇö(242),3/18/2017,½ÂÂ÷,172,268,380,596,648,630,726,696,741,712,658,709,654,612,446,290,254,232,93,3,0,9520
ÃæÁ¤·Î(243),3/18/2017,½ÂÂ÷,132,207,256,416,489,482,536,632,729,773,793,949,838,672,590,309,298,245,95,11,0,9452
¿ë´ä(244),3/18/2017,½ÂÂ÷,78,74,138,249,206,160,161,181,217,161,150,125,162,124,75,54,36,40,20,0,0,2411
½Å´ä(245),3/18/2017,½ÂÂ÷,30,32,73,91,93,91,84,85,107,75,96,112,101,73,31,27,24,21,5,0,0,1251
½Å¼³µ¿(246),3/18/2017,½ÂÂ÷,48,42,53,107,127,175,237,357,375,518,593,584,596,563,217,166,125,97,43,0,0,5023
µµ¸²Ãµ(247),3/18/2017,½ÂÂ÷,15,21,37,45,43,56,122,103,52,48,57,62,54,49,25,17,13,10,4,0,0,833
¾çÃµ±¸Ã»(248),3/18/2017,½ÂÂ÷,136,192,334,564,541,507,526,577,482,408,345,355,340,267,165,119,99,93,25,0,0,6075
½ÅÁ¤³×°Å¸®(249),3/18/2017,½ÂÂ÷,289,307,549,754,701,750,818,720,669,577,555,478,579,407,294,265,232,195,63,0,0,9202
¿ëµÎ(250),3/18/2017,½ÂÂ÷,34,38,53,104,101,114,135,172,166,173,183,188,163,155,73,53,61,34,12,0,0,2012
ÁöÃà(309),3/18/2017,½ÂÂ÷,2,27,46,104,76,84,105,91,85,70,122,91,89,64,40,7,6,6,2,0,0,1117
±¸ÆÄ¹ß(310),3/18/2017,½ÂÂ÷,340,566,971,"1,274","1,343","1,304","1,342","1,313","1,330","1,355","1,438","1,612","1,476","1,350",937,718,665,675,159,0,0,20168
¿¬½Å³»(311),3/18/2017,½ÂÂ÷,866,"1,271","2,134","3,263","3,025","2,924","3,035","3,180","3,295","2,967","2,622","2,764","2,658","2,155","1,766","1,536","1,330","1,277",546,3,0,42617
ºÒ±¤(312),3/18/2017,½ÂÂ÷,337,498,817,"1,281","1,396","1,234","1,321","1,295","1,378","1,426","1,412","1,530","1,382","1,191",857,703,612,537,178,0,0,19385
³ì¹ø(313),3/18/2017,½ÂÂ÷,268,432,709,"1,134","1,113",957,953,911,969,771,769,724,740,498,328,272,194,132,58,0,0,11932
È«Á¦(314),3/18/2017,½ÂÂ÷,301,587,976,"1,400","1,584","1,535","1,604","1,787","1,578","1,467","1,428","1,303","1,426","1,073",601,474,365,258,125,0,0,19872
¹«¾ÇÀç(315),3/18/2017,½ÂÂ÷,69,108,206,310,380,346,356,332,338,304,255,249,239,188,113,79,75,34,25,0,0,4006
µ¶¸³¹®(316),3/18/2017,½ÂÂ÷,180,176,236,428,559,469,542,668,735,"1,171",909,815,765,494,258,201,180,129,48,0,0,8963
°æº¹±Ã(317),3/18/2017,½ÂÂ÷,81,154,228,504,704,654,934,"1,631","1,881","2,564","2,983","3,354","3,347","2,564","2,047","1,270","1,238",912,279,0,0,27329
¾È±¹(318),3/18/2017,½ÂÂ÷,92,96,140,281,399,583,"1,069","1,572","1,929","2,754","3,027","3,475","3,994","3,327","2,290","1,710","1,343",818,214,0,0,29113
Á¾·Î3°¡(319),3/18/2017,½ÂÂ÷,30,52,61,65,128,200,324,327,503,758,680,697,741,795,709,515,367,406,158,9,0,7525
À»Áö·Î3°¡(320),3/18/2017,½ÂÂ÷,27,57,58,115,206,249,311,333,570,745,819,686,692,657,459,346,292,195,114,0,0,6931
µ¿´ëÀÔ±¸(322),3/18/2017,½ÂÂ÷,55,115,125,196,258,255,462,691,766,"1,603","1,378","1,113","1,295","1,454",852,666,857,665,141,0,0,12947
¾à¼ö(323),3/18/2017,½ÂÂ÷,204,277,458,770,867,811,861,869,"1,189","1,215","1,076",822,865,829,584,497,458,396,203,0,0,13251
±ÝÈ£(324),3/18/2017,½ÂÂ÷,132,239,320,596,728,622,633,680,630,590,513,458,457,427,293,213,169,134,65,0,0,7899
¿Á¼ö(325),3/18/2017,½ÂÂ÷,95,197,338,537,767,706,"1,073",940,801,789,690,767,784,678,411,328,312,235,82,0,0,10530
¾Ð±¸Á¤(326),3/18/2017,½ÂÂ÷,128,232,279,509,717,"1,048","1,616","2,361","2,916","3,150","3,566","3,546","3,799","2,944","2,308","2,601","1,861","1,470",390,1,0,35442
½Å»ç(327),3/18/2017,½ÂÂ÷,243,288,341,434,584,722,"1,113","1,630","2,104","2,604","2,884","3,598","3,813","3,206","2,676","2,552","2,782","2,758","1,079",0,0,35411
Àá¿ø(328),3/18/2017,½ÂÂ÷,44,107,172,305,381,379,373,481,461,402,339,398,490,394,253,170,102,105,48,0,0,5404
°í¼ÓÅÍ¹Ì³Î(329),3/18/2017,½ÂÂ÷,299,311,858,"1,709","2,692","3,670","4,482","5,782","5,918","6,544","6,399","7,566","7,482","7,353","6,389","6,732","5,346","3,369","1,113",2,0,84016
±³´ë(330),3/18/2017,½ÂÂ÷,50,109,118,228,377,359,559,623,818,876,827,996,"1,011","1,001",886,656,765,785,289,0,0,11333
³²ºÎÅÍ¹Ì³Î(331),3/18/2017,½ÂÂ÷,113,255,552,"1,142","1,540","2,270","2,670","2,994","3,171","3,077","2,945","3,005","2,943","2,445","2,182","1,764","1,390","1,437",408,0,0,36303
¾çÀç(332),3/18/2017,½ÂÂ÷,164,383,580,931,"1,232","1,327","1,594","2,228","2,882","2,998","2,874","2,874","3,161","2,593","2,078","1,866","1,840","1,355",406,3,0,33369
¸ÅºÀ(333),3/18/2017,½ÂÂ÷,52,132,232,308,430,376,511,532,586,578,507,543,"1,100",540,358,315,336,311,72,1,0,7820
