연번,영업장면적,업태명,,,,,,감성주점
348,75.4,한식,,,,,,
349,64.3,한식,,,,,,
350,60,한식,,,,,,
351,94,한식,,,,,,
352,78.12,한식,,,,,,
353,59.8,한식,,,,,,
354,18.65,한식,,,,,,
355,39.6,한식,,,,,,
356,138.25,한식,,,,,,
357,67.56,한식,,,,,,
358,96.4,한식,,,,,,
359,30,한식,,,,,,
360,63,한식,,,,,,
361,109.11,경양식,,,,,,
362,84,한식,,,,,,
363,28,한식,,,,,,
364,20.13,분식,,,,,,
365,46,한식,,,,,,
366,139.46,한식,,,,,,
367,27.84,회집,,,,,,
368,40.2,한식,,,,,,
369,26.03,통닭(치킨),,,,,,
370,42,한식,,,,,,
371,47.7,한식,,,,,,
372,98,한식,,,,,,
373,31.8,까페,,,,,,
374,26.5,한식,,,,,,
375,80,한식,,,,,,
376,257,회집,,,,,,
377,33.2,한식,,,,,,
378,34,호프/통닭,,,,,,
379,348.6,탕류(보신용),,,,,,
380,48.19,회집,,,,,,
381,69.4,회집,,,,,,
382,69,회집,,,,,,
383,66.02,회집,,,,,,
384,40.05,한식,,,,,,
385,61.92,통닭(치킨),,,,,,
386,84.08,한식,,,,,,
387,130.5,한식,,,,,,
388,165.83,회집,,,,,,
389,260,한식,,,,,,
390,105,한식,,,,,,
391,192,한식,,,,,,
392,116,한식,,,,,,
393,155.5,탕류(보신용),,,,,,
394,65.32,한식,,,,,,
395,252.08,회집,,,,,,
396,56,까페,,,,,,
397,56,식육(숯불구이),,,,,,
398,84,한식,,,,,,
399,66,한식,,,,,,
400,98,한식,,,,,,
401,39,한식,,,,,,
402,73.6,회집,,,,,,
403,31.2,한식,,,,,,
404,62.72,한식,,,,,,
405,63,까페,,,,,,
406,80.87,한식,,,,,,
407,201.7,식육(숯불구이),,,,,,
408,471.8,식육(숯불구이),,,,,,
409,33.6,한식,,,,,,
410,104.42,경양식,,,,,,
411,68,한식,,,,,,
412,66,호프/통닭,,,,,,
413,90.04,한식,,,,,,
414,24.41,한식,,,,,,
415,36.6,호프/통닭,,,,,,
416,95.91,한식,,,,,,
417,130,호프/통닭,,,,,,
418,112.64,한식,,,,,,
419,84.86,한식,,,,,,
420,42.34,한식,,,,,,
421,26.88,한식,,,,,,
422,44.01,식육(숯불구이),,,,,,
423,11.99,한식,,,,,,
424,36.34,한식,,,,,,
425,71.5,중국식,,,,,,
426,132.28,한식,,,,,,
427,70.38,한식,,,,,,
428,67.62,한식,,,,,,
429,87.41,한식,,,,,,
430,109.69,한식,,,,,,
431,40,까페,,,,,,
432,42,한식,,,,,,
433,100.54,한식,,,,,,
434,53.36,호프/통닭,,,,,,
435,49.92,통닭(치킨),,,,,,
436,16.4,한식,,,,,,
437,109.9,까페,,,,,,
438,29.02,한식,,,,,,
439,54,한식,,,,,,
440,101,한식,,,,,,
441,36,한식,,,,,,
442,33,한식,,,,,,
443,61.21,한식,,,,,,
444,45,한식,,,,,,
445,101.67,한식,,,,,,
446,20,한식,,,,,,
447,37.13,한식,,,,,,
448,227,회집,,,,,,
449,26,한식,,,,,,
450,146.22,한식,,,,,,
451,46.2,중국식,,,,,,
452,104.9,한식,,,,,,
453,29.24,한식,,,,,,
454,37.37,중국식,,,,,,
455,263.86,한식,,,,,,
456,30.25,한식,,,,,,
457,48,한식,,,,,,
458,127.72,식육(숯불구이),,,,,,
459,67.4,한식,,,,,,
460,80,일식,,,,,,
461,22.8,한식,,,,,,
462,75,한식,,,,,,
463,176.12,한식,,,,,,
464,92.72,한식,,,,,,
465,42,까페,,,,,,
466,53.7,한식,,,,,,
467,69,일식,,,,,,
468,133.14,한식,,,,,,
469,143.91,한식,,,,,,
470,64,한식,,,,,,
471,92,한식,,,,,,
472,80,호프/통닭,,,,,,
473,66.4,중국식,,,,,,
474,64,호프/통닭,,,,,,
475,65.25,식육(숯불구이),,,,,,
476,72,호프/통닭,,,,,,
477,20.8,한식,,,,,,
478,132,한식,,,,,,
479,76.23,한식,,,,,,
480,395.2,한식,,,,,,
481,48,한식,,,,,,
482,72.86,한식,,,,,,
483,82.49,한식,,,,,,
484,114.3,한식,,,,,,
485,41.76,식육(숯불구이),,,,,,
486,41.38,한식,,,,,,
487,320.2,한식,,,,,,
488,124.99,한식,,,,,,
489,79.86,한식,,,,,,
490,47.08,한식,,,,,,
491,160.85,한식,,,,,,
492,37.52,한식,,,,,,
493,30.1,한식,,,,,,
494,60,한식,,,,,,
495,150,식육(숯불구이),,,,,,
496,30,한식,,,,,,
497,55,한식,,,,,,
498,101.49,한식,,,,,,
499,24.13,호프/통닭,,,,,,
500,29.6,한식,,,,,,
501,73,한식,,,,,,
502,36.3,한식,,,,,,
503,65.1,한식,,,,,,
504,110,한식,,,,,,
505,24.9,호프/통닭,,,,,,
506,101,식육(숯불구이),,,,,,
507,43,한식,,,,,,
508,20,호프/통닭,,,,,,
509,125.21,한식,,,,,,
510,56.25,김밥(도시락),,,,,,
511,51.75,한식,,,,,,
512,22.05,한식,,,,,,
513,50,식육(숯불구이),,,,,,
514,56.42,한식,,,,,,
515,149,호프/통닭,,,,,,
516,17,한식,,,,,,
517,64,호프/통닭,,,,,,
518,145,한식,,,,,,
519,21,한식,,,,,,
520,29,한식,,,,,,
521,29.5,한식,,,,,,
522,32,한식,,,,,,
523,48,한식,,,,,,
524,102.57,한식,,,,,,
525,76,호프/통닭,,,,,,
526,20,호프/통닭,,,,,,
527,14,기타,,,,,,
528,121,회집,,,,,,
529,157,한식,,,,,,
530,302,뷔페식,,,,,,
531,88,기타,,,,,,
532,141,한식,,,,,,
533,288.9,한식,,,,,,
534,32,한식,,,,,,
535,45,한식,,,,,,
536,40,회집,,,,,,
537,145,한식,,,,,,
538,22,한식,,,,,,
539,66,한식,,,,,,
540,175,한식,,,,,,
541,102,한식,,,,,,
542,316.16,한식,,,,,,
543,79.26,한식,,,,,,
544,162.12,한식,,,,,,
545,20.7,한식,,,,,,
546,30.8,회집,,,,,,
547,23.01,한식,,,,,,
548,73.16,한식,,,,,,
549,175.94,회집,,,,,,
550,59,한식,,,,,,
551,69.73,한식,,,,,,
552,67.1,중국식,,,,,,
553,35.84,한식,,,,,,
554,47.34,한식,,,,,,
555,25.99,까페,,,,,,
556,177.54,한식,,,,,,
557,815.65,한식,,,,,,
558,71,한식,,,,,,
559,34.1,호프/통닭,,,,,,
560,33.8,한식,,,,,,
561,30.5,한식,,,,,,
562,29.87,한식,,,,,,
563,40.2,한식,,,,,,
564,39.36,까페,,,,,,
565,137.5,회집,,,,,,
566,121.76,한식,,,,,,
567,48.36,한식,,,,,,
568,14.5,한식,,,,,,
569,25.15,한식,,,,,,
570,39.56,식육(숯불구이),,,,,,
571,63.53,한식,,,,,,
572,30.96,한식,,,,,,
573,146.9,한식,,,,,,
574,66,한식,,,,,,
575,34.32,한식,,,,,,
576,29.46,한식,,,,,,
577,106.68,한식,,,,,,
578,67.15,한식,,,,,,
579,25.8,한식,,,,,,
580,44.55,호프/통닭,,,,,,
