년도,연번,시설명,인증구분,인증서 번호,인증 기간,인증등급,"도,시",시군구,비고
2016,29,청양소방서,예비인증,제725호,'16.06.27.～'21.06.26.,우수,충청남도,청양군,공공
2016,30,회화면사무소,예비인증,제729호,'16.06.29.～'21.06.28.,우수,경상남도,고성군,공공
2016,31,진천군 농업기술센터,예비인증,제730호,'16.06.29.～'21.06.28.,우수,충청북도,진천군,공공
2016,32,부산대학교 양산캠퍼스 기숙사 Y16동,예비인증,제758호,'16.07.19.～'21.07.18.,우수,경상남도,양산시,공공
2016,33,예미 MTB바이크텔,예비인증,제833호,'16.08.31.～'21.08.30.,우수,강원도,정선군,공공
2016,34,창조정밀,예비인증,제834호,'16.08.31.～'21.08.30.,우수,경기도,포천시,민간
2016,35,(가칭)미사5유치원,예비인증,제835호,'16.08.31.～'21.08.30.,일반,경기도,하남시,공공
2016,36,언양읍청사,예비인증,제836호,'16.08.31.～'21.08.30.,우수,울산광역시,울주군,공공
2016,37,군포노인행복센터 2호점,예비인증,제870호,'16.09.27.～'21.09.26.,우수,경기도,군포시,공공
2016,38,함양소방서,예비인증,제871호,'16.09.27.～'21.09.26.,우수,경상남도,함양군,공공
2016,39,정선아리랑시장 고객지원센터,예비인증,제872호,'16.09.27.～'21.09.26.,우수,강원도,정선군,공공
2016,40,스위트위드㈜,예비인증,제873호,'16.09.27.～'21.09.26.,우수,경기도,평택시,민간
2016,41,현동주민센터,예비인증,제937호,'16.10.31.～'21.10.30.,우수,경상남도,창원시,공공
2016,42,적정기술 에듀파크,예비인증,제938호,'16.10.31.～'21.10.30.,우수,충청남도,예산군,공공
2016,43,(가칭)서남초등학교,예비인증,제939호,'16.10.31.～'21.10.30.,우수,충청남도,서산시,공공
2016,44,(가칭)배곧3초등학교,예비인증,제940호,'16.10.31.～'21.10.30.,우수,경기도,시흥시,공공
2016,45,성안 주식회사,예비인증,제988호,'16.11.23.～'21.11.22.,우수,강원도,원주시,민간
2016,46,태안군 노인종합복지관 및 노인회관,예비인증,제989호,'16.11.23.～'21.11.22.,우수,충청남도,태안군,공공
2016,47,성지에프앤디 공장4동,예비인증,제990호,'16.11.23.～'21.11.22.,우수,전라남도,무안군,민간
2016,48,산림복합 커뮤니티센터,예비인증,제991호,'16.11.23.～'21.11.22.,우수,충청남도,태안군,공공
2016,49,건강생활지원센터,예비인증,제992호,'16.11.23.～'21.11.22.,우수,경상남도,김해시,공공
2016,50,서울지방경찰청 광역수사대 청사,예비인증,제1013호,'16.11.30.～'21.11.29.,우수,서울특별시,마포구,공공
2016,51,㈜예원 본사,예비인증,제1014호,'16.11.30.～'21.11.29.,우수,충청북도,청주시,민간
2016,52,㈜대동소방,본인증,제291호,'16.11.30.～'21.11.29.,우수,경기도,김포시,민간
2016,53,송파구 청소년 문화의 집,예비인증,제1035호,'16.12.16.～'21.12.15.,일반,서울특별시,송파구,공공
2016,54,(가칭)부산1초등학교,예비인증,제1036호,'16.12.16.～'21.12.15.,우수,경기도,오산시,공공
2017,1,정선 토속음식 304 맛전수관,예비인증,제1079호,'17.01.04.～'22.01.03.,우수,강원도,정선군,공공
2017,2,횡성문화원 및 작은영화관,예비인증,제1080호,'17.01.04.～'22.01.03.,일반,강원도,횡성군,공공
2017,3,영도구 복합커뮤니티센터,예비인증,제1081호,'17.01.04.～'22.01.03.,우수,부산광역시,영도구,공공
2017,4,고창 장애인복지관,예비인증,제1082호,'17.01.04.～'22.01.03.,우수,전라북도,고창군,공공
